279,Alex Gaunt,Microsoft,Daniel Tarlow,Google Brain,Differentiable Programs with Neural Libraries
280,Shinya Suzumura,Nagoya Institute of Technology,Ichiro Takeuchi,Nagoya Institute of Technology / RIKEN,Selective Inference for Sparse High-Order Interaction Models
281,Rashish Tandon,University of Texas at Austin,Nikos Karampatziakis,Microsoft,Gradient Coding: Avoiding Stragglers in Distributed Learning
282,Chuan Guo,Cornell University,Kilian Weinberger,Cornell University,On Calibration of Modern Neural Networks
283,Manzil Zaheer,Carnegie Mellon University,Alex Smola,Amazon,Latent LSTM Allocation: Joint clustering and non-linear dynamic modeling of sequence data
284,Chi Jin,UC Berkeley,Michael Jordan,UC Berkeley,How to Escape Saddle Points Efficiently
285,Shayegan Omidshafiei,MIT,John L Vian,The Boeing Company,Deep Decentralized Multi-task Multi-Agent Reinforcement Learning under Partial Observability
286,Pengtao Xie,Carnegie Mellon University,Eric Xing,Carnegie Mellon University,Learning Latent Space Models with Angular Constraints
287,Daniel Selsam,Stanford University,David L Dill,Stanford University,Developing Bug-Free Machine Learning Systems With Formal Mathematics
288,Pedram Pad,Ecole Polytechnique Federale de Lausanne (EPFL),Michael Unser,,Dictionary Learning Based on Sparse Distribution Tomography
289,Weihua Hu,The University of Tokyo / RIKEN,Masashi Sugiyama,RIKEN / The University of Tokyo,Learning Discrete Representations via Information Maximizing Self-Augmented Training
290,Shusen Wang,UC Berkeley,Michael Mahoney,UC Berkeley,"Sketched Ridge Regression: Optimization Perspective, Statistical Perspective, and Model Averaging"
291,Aditi Raghunathan,Stanford,James Zou,Stanford,Estimating the unseen from multiple populations
292,Michael Kearns,University of Pennsylvania,Steven Wu,UPenn,Meritocratic Fairness for Cross-Population Selection
293,Matus Telgarsky,UIUC,Matus Telgarsky,UIUC,Neural networks and rational functions
294,Brandon Amos,Carnegie Mellon University,Zico Kolter,Carnegie Mellon University,Input Convex Neural Networks
295,Charlotte Laclau,LIG,Vincent Brault,Univ. Grenoble Alpes,Co-clustering through Optimal Transport
296,Brandon Amos,Carnegie Mellon University,Zico Kolter,Carnegie Mellon University,OptNet: Differentiable Optimization as a Layer in Neural Networks
297,Yale Chang,Northeastern University,Jennifer Dy,Northeastern University,Multiple Clustering Views from Multiple Uncertain Experts
298,Moustapha Cisse,Facebook AI Research,Nicolas Usunier,Facebook AI Research,Parseval Networks: Improving Robustness to Adversarial Examples
