439,439,Jingwei Liang,GREYC,Gabriel Peyré,Université Paris Dauphine,A Multi-step Inertial Forward-Backward Splitting Method for Non-convex Optimization.
440,440,Mahdi Milani Fard,Google,Maya Gupta,Google,Fast and Flexible Monotonic Functions with Ensembles of Lattices.
441,441,Saizheng Zhang,University of Montreal,Yoshua Bengio,U. Montreal,Architectural Complexity Measures of Recurrent Neural Networks.
442,442,Ashok Cutkosky,Stanford University,Kwabena A Boahen,Stanford University,Online Convex Optimization with Unconstrained Domains and Losses.
443,443,Chendi Huang,Peking University,Yuan Yao,Stanford University,Split LBI: An Iterative Regularization Path with Structural Sparsity.
444,444,Yunchen Pu,Duke University,Lawrence Carin,Duke University,"Variational Autoencoder for Deep Learning of Images, Labels and Captions."
445,445,Yuanzhi Li,Princeton University,Andrej Risteski,Princeton University,Recovery Guarantee of Non-negative Matrix Factorization  via Alternating Updates.
446,446,Shenlong Wang,University of Toronto,Raquel Urtasun,University of Toronto,Proximal Deep Structured Models.
447,447,Mohammad Ghavamzadeh,Facebook AI Research,Yinlam Chow,Stanford University,Safe Policy Improvement by Minimizing Robust Baseline Regret.
448,448,Tae-Hyun Oh,KAIST,David Wipf,Microsoft Research,A Pseudo-Bayesian Algorithm for Robust PCA.
449,449,Hado van Hasselt,DeepMind,David Silver,DeepMind,Learning values across many orders of magnitude.
450,450,Shanshan Wu,UT Austin,Alex Dimakis,"University of Texas, Austin",Single Pass PCA of Matrix Products.
451,451,Shreyas Saxena,INRIA,Jakob Verbeek,INRIA,Convolutional Neural Fabrics.
452,452,Xinghua Lou,Vicarious FPC Inc,Dileep George,Vicarious,Generative Shape Models: Joint Text Recognition and Segmentation with Very Little Training Data.
453,453,Arno Onken,IIT,Stefano Panzeri,IIT,Mixed vine copulas as joint models of spike counts and local field potentials.
454,454,Zeyuan Allen-Zhu,Princeton University,Elad Hazan,Princeton University,Optimal Black-Box Reductions Between Optimization Objectives.
455,455,Jason E Weston,Facebook AI Research,Jason E Weston,Facebook AI Research,Dialog-based Language Learning.
456,456,Wei-Shou Hsu,University of Waterloo,Pascal Poupart,University of Waterloo & Vector Institute,Online Bayesian Moment Matching for Topic Modeling with Unknown Number of Topics.
457,457,Jin Lu,University of Connecticut,Jinbo Bi,University of Connecticut,A Sparse Interactive Model for Matrix Completion with Side Information.
458,458,Ilija Bogunovic,EPFL Lausanne,Volkan Cevher,EPFL,Truncated Variance Reduction: A Unified Approach to Bayesian Optimization and Level-Set Estimation.
